raw,CPS1_nt,CPS2_nt,CPS3_nt,CPS4_nt,CPS5_nt,CPTOT_nt
10,40,40,40,40,40,
11,40,40,40,40,40,
12,40,40,40,40,40,
13,40,40,40,40,40,
14,40,40,40,40,40,
15,40,40,40,40,40,
16,40,40,40,40,40,
17,40,40,40,40,40,
18,42,43,43,42,42,
19,46,46,46,45,46,
20,49,49,50,49,49,
21,53,53,53,53,53,
22,56,56,57,56,56,
23,60,60,60,60,60,
24,63,63,64,63,64,
25,67,66,68,67,67,
26,70,70,71,70,71,
27,74,73,75,74,75,
28,77,76,79,77,78,
29,80,80,79,80,80,
30,80,80,79,80,80,
31,80,80,80,80,80,
32,80,80,80,80,80,
33,80,80,80,80,80,
34,80,80,80,80,80,
35,80,80,80,80,80,
36,80,80,80,80,80,
37,80,80,80,80,80,
38,80,80,80,80,80,
39,80,80,80,80,80,
40,80,80,80,80,80,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,40
51,,,,,,40
52,,,,,,40
53,,,,,,40
54,,,,,,40
55,,,,,,40
56,,,,,,40
57,,,,,,40
58,,,,,,40
59,,,,,,40
60,,,,,,40
61,,,,,,40
62,,,,,,40
63,,,,,,40
64,,,,,,40
65,,,,,,40
66,,,,,,40
67,,,,,,40
68,,,,,,40
69,,,,,,40
70,,,,,,40
71,,,,,,40
72,,,,,,40
73,,,,,,40
74,,,,,,40
75,,,,,,40
76,,,,,,40
77,,,,,,40
78,,,,,,40
79,,,,,,40
80,,,,,,40
81,,,,,,40
82,,,,,,40
83,,,,,,40
84,,,,,,40
85,,,,,,40
86,,,,,,40
87,,,,,,40
88,,,,,,40
89,,,,,,40
90,,,,,,40
91,,,,,,40
92,,,,,,40
93,,,,,,40
94,,,,,,41
95,,,,,,42
96,,,,,,43
97,,,,,,44
98,,,,,,45
99,,,,,,47
100,,,,,,48
101,,,,,,49
102,,,,,,50
103,,,,,,51
104,,,,,,53
105,,,,,,54
106,,,,,,55
107,,,,,,57
108,,,,,,58
109,,,,,,59
110,,,,,,61
111,,,,,,62
112,,,,,,64
113,,,,,,65
114,,,,,,67
115,,,,,,68
116,,,,,,70
117,,,,,,72
118,,,,,,73
119,,,,,,73
120,,,,,,77
121,,,,,,79
122,,,,,,79
123,,,,,,80
124,,,,,,80
125,,,,,,80
126,,,,,,80
127,,,,,,80
128,,,,,,80
129,,,,,,80
130,,,,,,80
131,,,,,,80
132,,,,,,80
133,,,,,,80
134,,,,,,80
135,,,,,,80
136,,,,,,80
137,,,,,,80
138,,,,,,80
139,,,,,,80
140,,,,,,80
141,,,,,,80
142,,,,,,80
143,,,,,,80
144,,,,,,80
145,,,,,,80
146,,,,,,80
147,,,,,,80
148,,,,,,80
149,,,,,,80
150,,,,,,80
151,,,,,,80
152,,,,,,80
153,,,,,,80
154,,,,,,80
155,,,,,,80
156,,,,,,80
157,,,,,,80
158,,,,,,80
159,,,,,,80
160,,,,,,80
161,,,,,,80
162,,,,,,80
163,,,,,,80
164,,,,,,80
165,,,,,,80
166,,,,,,80
167,,,,,,80
168,,,,,,80
169,,,,,,80
170,,,,,,80
171,,,,,,80
172,,,,,,80
173,,,,,,80
174,,,,,,80
175,,,,,,80
176,,,,,,80
177,,,,,,80
178,,,,,,80
179,,,,,,80
180,,,,,,80
181,,,,,,80
182,,,,,,80
183,,,,,,80
184,,,,,,80
185,,,,,,80
186,,,,,,80
187,,,,,,80
188,,,,,,80
189,,,,,,80
190,,,,,,80
191,,,,,,80
192,,,,,,80
193,,,,,,80
194,,,,,,80
195,,,,,,80
196,,,,,,80
197,,,,,,80
198,,,,,,80
199,,,,,,80
200,,,,,,80
